Name,Year,Length,Rating
The Shawshank Redemption,1994,2h 22m,9.3
The Godfather,1972,2h 55m,9.2
The Dark Knight,2008,2h 32m,9.1
The Godfather: Part II,1974,3h 22m,9.0
12 Angry Men,1957,1h 36m,9.0
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0
Schindler's List,1993,3h 15m,9.0
Pulp Fiction,1994,2h 34m,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9
"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,8.8
Forrest Gump,1994,2h 22m,8.8
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8
Fight Club,1999,2h 19m,8.8
Inception,2010,2h 28m,8.8
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7
The Matrix,1999,2h 16m,8.7
GoodFellas,1990,2h 25m,8.7
Interstellar,2014,2h 49m,8.7
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7
Se7en,1995,2h 7m,8.6
It's a Wonderful Life,1946,2h 10m,8.6
The Silence of the Lambs,1991,1h 58m,8.6
Shichinin No Samurai,1954,3h 27m,8.6
Saving Private Ryan,1998,2h 49m,8.6
The Green Mile,1999,3h 9m,8.6
